Id Famille de Produit ;Famille de produit ;;Impact carbonne total kg;Energie (Mise en forme);Energie (Assemblage);Intrants (Matières premières);Transport (Distribution);Transport (Approvisionnement);Coef de marque;Title
1;Aspirateur ménager - avec sac;;47.3;7.23;8.83;20.2;8.62;2.43;;
2;Aspirateur ménager - sans sac;;52.4;8.07;8.83;22.9;9.83;2.78;;
3;Congélateur - armoire - 205l;;415;68;28.3;211;83.6;24.7;;
4;Congélateur - coffre - 261l;;301;44.2;19.6;167;57.6;13;;
5;Four - électrique encastrable;;217;33.6;12.9;133;29.9;8.17;;
6;Gaziniére ;;163;27.1;12.9;83.5;31.3;8.41;;
7;Lave-linge - capacité 5 kg;;305;49.1;24;165;57.3;10.5;;
8;Lave-linge - capacité 7kg;;342;47.6;24;191;66.3;12.2;;
9;Lave-vaisselle - standard - 12 couverts;;271;40.1;15.7;155;51.3;9.09;;
10;Micro-onde;;98.4;6.91;10.4;58.6;19;3.43;;
11;Réfrigétateur - 1 grande porte - 250l;;300;36;28.1;154;62.8;18.6;;
12;Appareil photo - Compact;;24.4;0.195;0.179;22.9;0.747;0.404;;
13;Appareil photo - Reflex;;30.6;0.537;0.83;26.5;1.77;0.955;;
14;Console vidéo - de salon;;73.7;2.46;3.21;60.8;4.74;2.54;;
15;Console vidéo - portable;;30.8;0.105;0.359;21;8.81;0.523;;
16;Décodeur;;60.9;0.57;2.67;52.2;3.56;1.87;;
17;Ecran - 21,5 pouces;;222;1.9;2.17;205;7.98;4.26;;
18;Ecran - 23,8 pouces;;248;2.55;2.48;229;9.21;4.94;;
19;Enceinte - active Bluetooth;;8.98;0.161;0.413;7.43;0.639;0.337;;
20;Imprimante - jet d'encre;;88.2;5.24;3.11;61.2;12.2;6.44;;
21;Smartphone - de moins de 4,5 pouces;;27.6;0.0634;0.249;23.3;3.39;0.591;;
22;Smartphone - de plus de 5,5 pouces;;39.1;0.0714;0.256;31.9;6;0.841;;
23;Tablette - classique - 9 à 11 pouces;;63.2;0.122;0.507;49;12.8;0.758;;
24;;;;;;;;;;
