Title ;Id famille ;Id brand 
PS4;14;10
XBOX ONE;14;7
Iphone 7 ;22;3
Samsung Galaxy;22;14
Lenovo Tab 10;23;6
Ipad 5;23;3
Media Pad3;23;12
Galaxy Tab 1;23;14
DSC-W810 ;13;10
TV LED LG 43UK6200;24;9
TV Samsung UE40NU7125 UHD 4K Smart TV 40;24;14
TV LED SONY KDL32RE400;24;10
Barre de son Sony HTSF150;25;10
Barre de son LG SK6F;25;9
Barre de son Samsung HWMS550 ;25;14
Enceinte Bluetooth Sony SRS-XB21 Noir;26;10
Xiaomi MI;26;18
Home cinéma 5.1 Sony BDVN5200;27;10
Home cinéma 5.1 Samsung HTJ5500;27;14
Imprimante jet d'encre HP Tango X;20;5
SAMSUNG XPRESS SL-M2675F;20;14
SC 07 F 80 HQ;2;14
Dreame V9;2;18
Lave-vaisselle 60 cm Lg DF415HSS;9;9
Lave-vaisselle 60 cm Samsung DW60M9550FW ;9;14
Samsung MS28F303EAW;10;14
Lg MH7265DDS;10;9
EcoBubble WD70J5A10AW;7;14
EX-F74J60SWH;7;9
